Country,deaths,confirmed,recovered
Afghanistan,5477,130113,78521
Albania,2456,132565,130037
Algeria,3798,143652,99931
Andorra,127,14050,13760
Angola,925,39593,34100
Antigua and Barbuda,42,1266,1222
Argentina,97904,4613019,4226694
Armenia,4536,225987,217381
Australia,910,30951,23850
Austria,10721,651128,638618
Azerbaijan,4980,336788,330606
Bahamas,252,13024,11855
Bahrain,1371,266919,264125
Bangladesh,15792,989219,856346
Barbados,47,4119,4032
Belarus,3225,424554,417585
Belgium,25196,1092477,0
Belize,330,13476,12824
Benin,105,8227,8000
Bhutan,1,2252,1930
Bolivia,17126,451224,375676
Bosnia and Herzegovina,9667,205047,183663
Botswana,1202,75388,69914
Brazil,530179,18962762,16796161
Brunei,3,266,255
Bulgaria,18134,422353,396219
Burkina Faso,168,13505,13317
Burma,3621,180055,142309
Burundi,8,5585,773
Cabo Verde,289,32883,32008
Cambodia,825,58057,50020
Cameroon,1324,80858,35261
Canada,26375,1426705,1394861
Central African Republic,98,7142,6859
Chad,174,4953,4777
Chile,33514,1579591,1527050
China,4848,103992,98603
Colombia,111155,4450086,4172018
Comoros,146,3976,3774
Congo (Brazzaville),167,12790,11759
Congo (Kinshasa),973,43333,28570
Costa Rica,4760,378938,304395
Cote d'Ivoire,317,48739,48046
Croatia,8226,360593,351743
Cuba,1431,218396,195818
Cyprus,380,81581,39061
Czechia,30331,1668619,1636599
Denmark,2539,298411,290629
Diamond Princess,13,712,699
Djibouti,155,11614,11450
Dominica,0,197,192
Dominican Republic,3870,331826,272392
Ecuador,21768,465878,431404
Egypt,16351,282737,216982
El Salvador,2428,80932,73961
Equatorial Guinea,122,8790,8572
Eritrea,28,6242,5808
Estonia,1270,131357,127740
Eswatini,685,19662,18380
Ethiopia,4341,276799,261817
Fiji,48,8661,1456
Finland,976,97349,46000
France,111473,5861128,406970
Gabon,161,25133,24854
Gambia,183,6183,5876
Georgia,5415,373728,357090
Germany,91197,3741470,3631310
Ghana,797,96971,94281
Greece,12749,433021,93764
Grenada,1,161,160
Guatemala,9609,311342,274697
Guinea,174,23999,23297
Guinea-Bissau,70,3921,3614
Guyana,486,20757,18795
Haiti,467,19172,12961
Holy See,0,27,27
Honduras,7192,271619,93877
Hungary,30004,808393,740790
Iceland,29,6555,6476
India,405939,30752950,29888284
Indonesia,63760,2417788,1994573
Iran,85397,3327526,2981019
Iraq,17444,1406289,1287903
Ireland,5006,276104,23364
Israel,6432,844989,834790
Italy,127731,4267105,4097905
Jamaica,1108,50497,35777
Japan,14865,814319,779855
Jordan,9812,755480,738873
Kazakhstan,3556,502581,459007
Kenya,3716,187525,131099
Kiribati,0,2,0
"Korea, South",2036,165344,152498
Kosovo,2266,107827,105412
Kuwait,2071,370932,350471
Kyrgyzstan,2073,135739,115513
Laos,3,2469,2104
Latvia,2535,137797,134580
Lebanon,7869,546766,533932
Lesotho,335,11644,6584
Liberia,135,4994,2516
Libya,3227,199526,180204
Liechtenstein,59,3052,2971
Lithuania,4396,279024,268068
Luxembourg,819,71879,69834
MS Zaandam,2,9,7
Madagascar,927,42376,40780
Malawi,1227,37983,33681
Malaysia,5903,808658,725480
Maldives,213,74848,71758
Mali,528,14455,10092
Malta,420,30755,30176
Marshall Islands,0,4,4
Mauritania,490,21303,20079
Mauritius,18,1858,1534
Mexico,234458,2567821,2031875
Micronesia,0,1,1
Moldova,6205,257272,250220
Monaco,33,2603,2542
Mongolia,660,134270,96513
Montenegro,1619,100414,98476
Morocco,9346,538589,522377
Mozambique,939,84922,72449
Namibia,1812,101001,75850
Nepal,9320,651380,615613
Netherlands,18046,1729706,27430
New Zealand,26,2766,2707
Nicaragua,192,8461,4225
Niger,194,5529,5227
Nigeria,2122,168256,164415
North Macedonia,5486,155760,150118
Norway,796,132673,17998
Oman,3371,281688,250564
Pakistan,22520,969476,911383
Palau,0,0,0
Panama,6604,412466,392262
Papua New Guinea,177,17292,16518
Paraguay,13729,434264,388138
Peru,193909,2074186,2035017
Philippines,25650,1455585,1380899
Poland,75135,2880596,2652372
Portugal,17135,899295,840297
Qatar,598,223031,220904
Romania,34168,1081120,1045351
Russia,138441,5638901,5083251
Rwanda,521,45950,30191
Saint Kitts and Nevis,3,519,318
Saint Lucia,85,5374,5176
Saint Vincent and the Grenadines,12,2240,2129
Samoa,0,3,3
San Marino,90,5092,5002
Sao Tome and Principe,37,2386,2324
Saudi Arabia,7933,497773,478127
Senegal,1184,44790,41988
Serbia,7064,717293,0
Seychelles,74,16679,15541
Sierra Leone,109,5887,3819
Singapore,36,62668,62363
Slovakia,12516,391813,255300
Slovenia,4423,257619,252744
Solomon Islands,0,20,20
Somalia,775,14995,7252
South Africa,63499,2135246,1862900
South Sudan,117,10891,10514
Spain,80997,3915313,150376
Sri Lanka,3391,269946,239584
Sudan,2760,36805,30647
Summer Olympics 2020,0,6,0
Suriname,563,22997,19020
Sweden,14642,1092308,0
Switzerland,10898,704620,317600
Syria,1895,25753,21872
Taiwan*,718,15149,11456
Tajikistan,97,13719,13461
Tanzania,21,509,183
Thailand,2462,308230,26873
Timor-Leste,25,9657,8728
Togo,133,14176,13608
Trinidad and Tobago,923,34241,27013
Tunisia,15861,473229,375756
Turkey,50096,5465094,5333759
US,606475,33790505,0
Uganda,2033,85581,58686
Ukraine,54894,2308142,2235229
United Arab Emirates,1849,645653,623826
United Kingdom,128601,5040060,15888
Uruguay,5772,375298,360438
Uzbekistan,760,114529,110041
Vanuatu,1,4,3
Venezuela,3253,281907,263830
Vietnam,104,24810,8950
West Bank and Gaza,3577,314869,309251
Yemen,1365,6936,4119
Zambia,2672,170456,152103
Zimbabwe,2029,62383,42855
